epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
94,6276.5,0.45919,0.45312,0.29935,0.00352,0.19414,0.91835,0.93593,0.95358,0.90549,0.9099,0.92474,0.94346,0.82976,0.26366,0.52088,0.23062,0.00383,0,0.000559318,0.000559318,0.000559318
95,6342.18,0.45011,0.43593,0.29136,0.00341,0.18386,0.92489,0.91739,0.94207,0.89293,0.91901,0.91136,0.93432,0.82424,0.26142,0.41431,0.26659,0.00388,0,0.000551584,0.000551584,0.000551584
96,6408.84,0.43659,0.41943,0.28481,0.00346,0.20458,0.90199,0.92597,0.9467,0.90415,0.8959,0.91984,0.93768,0.83432,0.27588,0.58065,0.2679,0.00415,0,0.000543837,0.000543837,0.000543837
97,6475.29,0.44198,0.45711,0.28804,0.00339,0.19711,0.91536,0.91394,0.94662,0.90662,0.90612,0.90477,0.93729,0.83162,0.24377,0.51527,0.26461,0.00351,0,0.000536081,0.000536081,0.000536081
98,6541.04,0.42817,0.42137,0.28587,0.00344,0.18582,0.90555,0.90942,0.94592,0.902,0.89947,0.90313,0.93599,0.82657,0.26059,0.51574,0.23772,0.00383,0,0.000528318,0.000528318,0.000528318
99,6605.6,0.45041,0.44808,0.29056,0.00352,0.1896,0.92137,0.93505,0.94956,0.90358,0.91285,0.92588,0.94042,0.83355,0.26384,0.59961,0.24989,0.00391,0,0.000520548,0.000520548,0.000520548
100,6671.88,0.44659,0.43249,0.27742,0.00351,0.18221,0.90678,0.92776,0.94792,0.89967,0.90116,0.92146,0.93665,0.8234,0.26329,0.51096,0.24079,0.00399,0,0.000512775,0.000512775,0.000512775
101,6736.1,0.4358,0.40572,0.27404,0.00341,0.16438,0.9105,0.92932,0.94272,0.89885,0.90492,0.92018,0.93125,0.82437,0.25686,0.53479,0.26365,0.00388,0,0.000505,0.000505,0.000505
102,6801.38,0.4464,0.45673,0.28253,0.00338,0.17639,0.9045,0.92092,0.94184,0.896,0.90094,0.9175,0.93646,0.8283,0.24991,0.67866,0.273,0.00387,0,0.000497225,0.000497225,0.000497225
103,6868.67,0.44253,0.43035,0.27586,0.00341,0.17506,0.91946,0.92445,0.94838,0.90629,0.9137,0.91815,0.94119,0.83537,0.25035,0.69417,0.2616,0.0036,0,0.000489452,0.000489452,0.000489452
104,6933.96,0.43579,0.4267,0.28228,0.00325,0.18601,0.90188,0.94551,0.94838,0.90214,0.91318,0.92561,0.94408,0.83218,0.252,0.70127,0.25703,0.00383,0,0.000481682,0.000481682,0.000481682
105,7000.07,0.43572,0.43895,0.28503,0.00333,0.18731,0.92423,0.91437,0.94202,0.89543,0.91558,0.90287,0.93183,0.82219,0.26016,0.59563,0.26265,0.00389,0,0.000473919,0.000473919,0.000473919
106,7066.91,0.44439,0.4424,0.27792,0.0033,0.18251,0.89822,0.92209,0.94292,0.89199,0.88988,0.913,0.93215,0.82415,0.25786,0.61934,0.25553,0.00395,0,0.000466163,0.000466163,0.000466163
107,7134.5,0.43598,0.42709,0.27759,0.0033,0.1806,0.90781,0.93336,0.94937,0.90341,0.89709,0.92211,0.93572,0.82888,0.25313,0.67334,0.24974,0.00386,0,0.000458416,0.000458416,0.000458416
108,7202.33,0.427,0.41607,0.26006,0.00328,0.16685,0.91481,0.92899,0.94336,0.89627,0.90631,0.91982,0.93226,0.82368,0.25639,0.72444,0.28277,0.00382,0,0.000450682,0.000450682,0.000450682
109,7270,0.4376,0.42347,0.26885,0.00328,0.16318,0.91781,0.92713,0.94583,0.90234,0.90941,0.91832,0.93828,0.82803,0.25257,0.59909,0.24438,0.0038,0,0.00044296,0.00044296,0.00044296
110,7334.39,0.42058,0.41821,0.26352,0.00323,0.16567,0.89987,0.90422,0.94202,0.89805,0.86453,0.92482,0.93271,0.8249,0.25425,0.49211,0.26312,0.00381,0,0.000435254,0.000435254,0.000435254
111,7399.7,0.42282,0.42707,0.27112,0.00327,0.166,0.9136,0.93474,0.95165,0.90782,0.90544,0.92612,0.94323,0.83655,0.23956,0.61049,0.26827,0.00361,0,0.000427565,0.000427565,0.000427565
112,7465.99,0.42573,0.43191,0.27307,0.00327,0.1768,0.92106,0.93365,0.9513,0.91041,0.91298,0.92636,0.93955,0.83685,0.25216,0.4243,0.25516,0.00389,0,0.000419895,0.000419895,0.000419895
113,7530.08,0.42153,0.40609,0.26935,0.00324,0.17178,0.92126,0.93187,0.94615,0.90771,0.91084,0.92479,0.93809,0.83069,0.24486,0.55843,0.25974,0.00372,0,0.000412246,0.000412246,0.000412246
